Date,Asset 1 Price,Asset 2 Price,Asset 3 Price, Interest Rate ,Price
1/24/2022,100,153,198, 0.12 ,250
1/25/2022,99,152,197, 0.12 ,248.5
1/26/2022,98,151,195, 0.12 ,248
1/27/2022,97,150,194, 0.11 ,247
1/28/2022,98,152,196, 0.11 ,249
1/29/2022,99,154,198, 0.11 ,251
1/30/2022,100,153,199, 0.10 ,253
1/31/2022,101,152,198, 0.10 ,252.5
2/1/2022,102,151,196, 0.10 ,252
2/2/2022,103,153,198, 0.09 ,254
2/3/2022,102,155,199, 0.09 ,254.5
2/4/2022,101,154,197, 0.09 ,253
2/5/2022,100,153,195, 0.08 ,250
2/6/2022,101,151,194, 0.08 ,252
2/7/2022,102,149,196, 0.08 ,253.5
2/8/2022,101,148,198, 0.07 ,252.5
2/9/2022,100,147,197, 0.07 ,251
2/10/2022,99,148,196, 0.07 ,250
2/11/2022,100,149,195, 0.06 ,250.5
2/12/2022,101,150,196, 0.06 ,252
2/13/2022,102,151,198, 0.06 ,253
2/14/2022,103,149,200, 0.05 ,254
2/16/2022,101,149,199, 0.05 ,253
2/17/2022,100,150,198, 0.05 ,252
2/18/2022,99,151,197, 0.04 ,250.5
2/19/2022,100,150,196, 0.04 ,251.5
2/20/2022,101,149,197, 0.04 ,252.5
2/21/2022,102,148,199, 0.03 ,254
2/22/2022,101,149,200, 0.03 ,254
2/23/2022,100,150,199, 0.03 ,252.5
2/24/2022,99,151,197, 0.02 ,251
2/25/2022,98,152,196, 0.02 ,249
2/26/2022,99,151,197, 0.02 ,251
2/27/2022,100,150,198, 0.01 ,252
2/28/2022,101,149,199, 0.01 ,253
3/1/2022,102,148,198, 0.01 ,254
3/2/2022,101,149,197, 0.01 ,252
3/3/2022,100,150,196, 0.01 ,251
3/4/2022,99,151,195, 0.01 ,250
3/5/2022,100,150,196, 0.00 ,251.5
3/6/2022,101,149,197, 0.00 ,253
3/7/2022,102,150,198, 0.00 ,254.5
3/8/2022,101,149,197, 0.00 ,253
3/9/2022,100,148,196, 0.00 ,251
3/10/2022,104,160,194, 0.00 ,258
3/11/2022,103,161,193, 0.00 ,257
3/12/2022,104,162,194, 0.00 ,258.5
3/13/2022,103,161,195, 0.00 ,258.5
3/14/2022,102,162,196, 0.00 ,258
3/15/2022,101,163,197, 0.00 ,257.5
3/16/2022,102,162,198, 0.00 ,259
3/17/2022,101,163,197, 0.00 ,259
3/18/2022,102,162,198, 0.00 ,260
3/19/2022,103,163,197, 0.00 ,261.5
3/20/2022,102,164,196, 0.00 ,260
3/21/2022,101,165,195, 0.00 ,260
3/22/2022,100,164,196, 0.00 ,260
3/23/2022,99,165,197, 0.00 ,260.5
3/24/2022,98,166,196, 0.00 ,260
3/25/2022,99,167,197, 0.00 ,261.5
3/26/2022,98,168,196, 0.00 ,261
3/27/2022,97,167,197, 0.00 ,260.5
3/28/2022,98,168,196, 0.00 ,261
3/29/2022,97,169,195, 0.00 ,260.5
3/30/2022,98,168,194, 0.00 ,261
3/31/2022,99,167,193, 0.00 ,259.5
4/1/2022,100,168,194, 0.00 ,260
4/2/2022,99,169,193, 0.00 ,259
4/3/2022,100,170,194, 0.00 ,260
4/4/2022,99,171,193, 0.00 ,259
4/5/2022,98,170,194, 0.00 ,259
4/6/2022,99,169,195, 0.00 ,260
